ISBN,name,writer,pagenum,price,date,tags
9787534046858,隨園食單補證,袁枚原撰/夏曾傳補證,439,CNY62.00,2016-1,艺文丛刊;美食;袁枚;工具书;古典文学;古典;*杭州·浙江人民美术出版社*;浙江人美
9787533462529,欲望书写,[法]多米尼克·曼戈诺,181,28.00元,2013-11,文学研究;色情文学;文学史、文学批评及理论;文学;法国文学;文学理论;性学;文论
9787531737520,六十回忆,周越然,141,CNY27.80,2017-6-1,散文;周越然;民国;散文随笔;回忆录;随笔;现当代;文学
9787550273436,永山裕子的水彩课,[日]永山裕子,104,49.80元,2016-5,水彩;绘画;永山裕子;手绘;日本;美术;艺术;画集
9787516123904,国家基础能力的基础,欧树军,239,49.00元,2013-5,政治学;国家能力;政治;威权主义;社会科学;国家治理丛书;社会运动;社会学
9789867895813,臺灣史學五十年（1950-2000）,王晴佳,267,280圓,2002-8,王晴佳;史学史;历史学;学术史;台湾;历史研究;历史;臺灣史學五十年
9787550278950,美国学前全科练习（4～5岁）,[美]利亚纳·奥尼西（LianeOnish）,320,88.00元,2016-10,教育;童书;育儿;美国学前全科练习（4～5岁）;亲子;快乐学习;后浪;孩子
9787300235400,显义与晦义,[法]罗兰·巴特,,42.00元,,罗兰·巴特;哲学;视觉、影像与精神分析;符号学;中国人民大学出版社;中国;啥;【可信/不可信】
9787550284296,祖先,[美]秦家骢,568,68.00元,2016-10,历史;传记;家族传记;家族史;中国历史;文化;后浪;history
9787550295384,美国科学·生命科学·一年级,[美]蒂莫西·库尼等著,100,60.00元,2017-3,科普;教材;美国;美国科学;科普知识;科学;生命;浪花朵朵
9787213077319,是你吃了狒狒吗？,[法]朱利安·佩/[法]弗莱德·L图,40,32.00,2017-2,绘本;育儿;安全教育;幽默;寓言;善恶;法国;后浪
9787550271289,永远永远永远乐观的七只小矮熊：三个公主与三个王子,[法]埃米尔·布拉沃,48,29.80元,2016-4,绘本;幽默，亲子，教育;浪花朵朵童书;小矮熊;童书;后浪;幽默;儿童
9787542649720,庞贝的生活与艺术,(德)毛乌,431,,2014-11,建筑;庞贝;意大利;历史;考古;毛乌;城市史;城市
9787501347193,周一良批校世说新语（一函三册）,南朝宋刘义庆著周一良批校,504,1200.00,,世说新语;音韵学;语言学;工具书;周一良;古文字;古文;古典文学
